country,date,gdp_real,gdp_yoy,gdp_qoq_ann,ip,ip_yoy,cpi_yoy,unemp,rate3m,epu_adjusted,nb_articles,rec_q
DEU,1998-04-01,567558.1,1.6334903850234506,-1.8338631484179135,75.71049,5.119461299235772,1.3677472682887954,9.5,3.606666666666667,85.38547066666666,163.0,1.0
DEU,1998-07-01,570336.7,1.7314459080566058,1.9727118754051531,75.74410999999999,3.7334840465941856,0.5973716119034597,9.299999999999999,3.5100000000000002,97.06266799999999,156.0,1.0
DEU,1998-10-01,570190.5,0.954819752275915,-0.10249650375740993,74.76915000000001,0.8675086511829874,0.4388344501253065,9.066666666666666,3.526666666666667,89.07358466666666,171.0,1.0
DEU,1999-01-01,576808.0,1.1605947767622915,4.723751589015035,75.07172333333334,-0.884570882699239,0.19892947073086495,8.833333333333334,3.090731884066667,130.49935200000002,210.66666666666666,0.0
DEU,1999-04-01,576076.7,1.500921227271701,-0.5061721879918823,75.77772666666667,0.08971647478311547,0.5159178646628219,8.633333333333333,2.6340295815666668,65.32326766666667,167.0,0.0
DEU,1999-07-01,583974.1,2.3911138806252508,5.597370447238559,76.92078,1.57307821020168,0.6730993856838285,8.466666666666667,2.6993939394,95.42452066666668,160.66666666666666,0.0
DEU,1999-10-01,586752.9,2.904713424723848,1.917000827998394,77.72764333333333,3.9598866162245656,0.953047598932318,8.299999999999999,3.4297979798,124.56781999999998,180.0,0.0
DEU,2000-01-01,595801.6,3.292880819960886,6.312830632312361,80.28350666666667,6.956713571350577,1.5482380190507,8.133333333333333,3.5423161000000003,107.88369233333333,174.66666666666666,0.0
DEU,2000-04-01,600554.6,4.249069611737477,3.2293827911784145,82.44201,8.794170011303537,1.1053362566247744,8.0,4.263016866666667,114.13163433333334,168.0,0.0
DEU,2000-07-01,600993.3,2.914375825914206,0.29251690623233184,83.85953666666667,9.021167565566598,1.3765811043912206,7.900000000000001,4.737600433333333,93.81143166666668,174.33333333333334,0.0
DEU,2000-10-01,598434.0,1.990803965348964,-1.692530272670112,84.18169999999999,8.303465660270449,1.7305483765289138,7.766666666666667,5.024128366666667,52.93220633333333,179.66666666666666,0.0
DEU,2001-01-01,611139.0,2.574246192020979,8.766450761962918,84.56829666666667,5.344746295224456,1.7199675078406325,7.666666666666667,4.745054566666666,114.256974,199.0,0.0
DEU,2001-04-01,609603.5,1.5067572540448548,-1.0012273617321155,83.60180000000001,1.4206851008183345,2.5382776586410083,7.666666666666667,4.590751066666667,75.481336,175.33333333333334,1.0
DEU,2001-07-01,609603.5,1.4326615621172323,0.0,82.76417666666667,-1.3077804075700434,2.0171270413854803,7.833333333333333,4.267836033333333,78.53334199999999,195.0,1.0
DEU,2001-10-01,607702.4,1.5487756377478679,-1.241610563914064,80.96005333333333,-3.825834379211557,1.662999585433315,8.033333333333333,3.4434801,115.16372666666666,200.0,1.0
DEU,2002-01-01,604868.8,-1.0259859050068765,-1.8521188883701356,81.37886666666667,-3.7677278809164902,1.9986307990651264,8.166666666666666,3.362224233333333,126.36666533333333,181.0,1.0
DEU,2002-04-01,607208.7,-0.39284551351822516,1.5563789714472254,82.05541,-1.8480013808195084,1.2950254689425862,8.4,3.446013733333333,86.11346566666667,233.66666666666666,1.0
DEU,2002-07-01,611376.7,0.2908775950269282,2.7740786189119238,82.57088,-0.2309503624474981,1.2167867537866177,8.733333333333333,3.3573506666666666,130.45447766666666,206.33333333333334,1.0
DEU,2002-10-01,609694.9,0.3278743016318586,-1.09580438471506,82.21649333333333,1.5577284138528584,1.179233159655076,9.1,3.108817933333333,115.61583133333333,180.33333333333334,1.0
DEU,2003-01-01,601413.9,-0.5711817174236855,-5.323194354393612,82.63531,1.5447590761940762,1.1302464599454536,9.5,2.6830735333333333,121.12289933333334,244.33333333333334,1.0
DEU,2003-04-01,602291.3,-0.8098368814544177,0.5848364465237621,81.95876333333332,-0.10875892010499728,0.7895190052040683,9.733333333333333,2.3619103,151.185785,178.66666666666666,1.0
DEU,2003-07-01,607775.3,-0.5890639927887187,3.692137208591384,81.76546333333333,-0.9606153680026855,1.0518560315272947,9.8,2.1392634333333334,112.08773066666667,168.33333333333334,1.0
DEU,2003-10-01,608506.6,-0.19490076101998932,0.4821656648518857,83.63402,1.7295260716720569,1.1655876871156323,9.8,2.1496495,120.40028266666667,200.0,1.0
DEU,2004-01-01,607574.3,1.0243195243741399,-0.6114376450089831,84.08505333333333,1.754802908229336,0.9689788361773773,10.066666666666668,2.0629507666666664,131.80780766666666,162.0,1.0
DEU,2004-04-01,611157.3,1.4720451714975713,2.379836938751567,85.18041666666666,3.9332247814497436,1.865196914010207,10.3,2.082429633333333,97.40338933333334,171.33333333333334,1.0
DEU,2004-07-01,609183.0,0.2316152038426056,-1.2859234987954271,85.47035666666666,4.5377459412286365,1.8215435960291737,10.366666666666667,2.1163030333333332,97.51824766666668,158.66666666666666,1.0
